region,district,region_name,district_name,is_urban,S,E
1,1,Dodoma,Kondoa,0,-4.906388889,35.77972222
1,2,Dodoma,MPWAPWA,0,-6.348333333,36.48666667
1,3,Dodoma,Kongwa,0,-6.192777778,36.40722222
1,4,Dodoma,Chamwino,0,-6.098611111,36.03805556
1,5,Dodoma,Dodoma Urban,1,-6.175555556,35.73861111
1,6,Dodoma,Bahi,0,-5.952777778,35.31194444
1,7,Dodoma,Chemba,0,-5.261386627215137,35.87147532050374
2,1,Arusha,Monduli,0,-3.296111111,36.45
2,2,Arusha,Arumeru,1,-3.133333333,36.86666667
2,3,Arusha,Arusha,1,-3.3725,36.69444444
2,4,Arusha,Karatu,0,-3.333333333,35.66666667
2,5,Arusha,Ngorongoro,0,-2.75,35.5
3,1,Kilimanjaro,Rombo,0,-3.016666667,37.46666667
3,2,Kilimanjaro,Mwanga,0,-3.75,37.66666667
3,3,Kilimanjaro,Same,0,-4.25,37.91666667
3,4,Kilimanjaro,Moshi Rural,0,-3.3393,37.3439
3,5,Kilimanjaro,Hai,0,-3.166666667,37.16666667
3,6,Kilimanjaro,Moshi Urban,1,-3.3616,37.3466
4,1,Tanga,Lushoto,0,-4.798611111,38.29027778
4,2,Tanga,Korogwe,0,-5.155833333,38.45027778
4,3,Tanga,Muheza,0,-5,38.91694444
4,4,Tanga,Tanga Urban,1,-5.066666667,39.10027778
4,5,Tanga,Pangani,0,-5.42,38.97
4,6,Tanga,Handeni,0,-5.5817,38.43
4,7,Tanga,Kilindi,0,-5.87519,39.29
4,8,Tanga,Mkinga,0,-5.82,33.034
5,1,Morogoro,Kilosa,0,-6.8332,36.99
5,2,Morogoro,Morogoro Rural,0,-7.207,37.815
5,3,Morogoro,Kilombero,0,-8.0972,36.9827
5,4,Morogoro,Ulanga,0,-8.982373,36.630143
5,5,Morogoro,Morogoro Urban,1,-6.779875,37.669235
5,6,Morogoro,Mvomero,0,-7.028554,37.440732
6,1,Pwani,Bagamoyo,0,-6.43333,38.9
6,2,Pwani,Kibaha,0,-6.76667,38.91667
6,3,Pwani,Kisarawe,0,-6.9,39.06667
6,4,Pwani,Mkuranga,0,-7.11799,39.20782
6,5,Pwani,Rufiji,0,-7.974503,38.682373
6,6,Pwani,Mafia,0,-7.842963,39.779678
7,1,Dar-es-Salaam,KINONDONI,0,-6.727135,39.143954
7,2,Dar-es-Salaam,Ilala,1,-6.910039,39.16296
7,3,Dar-es-Salaam,Temeke,1,-7.02635,39.478549
8,1,Lindi,Kilwa,0,-9.199962,38.954925
8,2,Lindi,Lindi Rural,0,-10.132786,39.299301
8,3,Lindi,Nachingwea,0,-10.38333,38.76667
8,4,Lindi,Liwale,0,-9.76667,37.93333
8,5,Lindi,Ruangwa,0,-10.06667,38.93333
8,6,Lindi,Lindi Urban,1,-9.970644,39.563905
9,1,Mtwara,Mtwara Rural,0,-10.527777,39.963815
9,2,Mtwara,Newala,0,-10.666722,39.287257
9,3,Mtwara,Masasi,0,-10.71667,38.8
9,4,Mtwara,Tandahimba,0,-10.791786,39.587087
9,5,Mtwara,Mtwara Urban,1,-10.329959,40.160519
9,6,Mtwara,Nanyumbu,0,-11.045718,38.401487
9,7,Mtwara,Masasi,0,-11.01534,38.952445
10,1,Ruvuma,Tunduru,0,-11.026352,37.348874
10,2,Ruvuma,Songea Rural,0,-10.212855,35.446443
10,3,Ruvuma,Mbinga,0,-10.8333,34.833
10,4,Ruvuma,Songea Urban,1,-10.660068,35.648706
10,5,Ruvuma,Namtumbo,0,-10.454888,36.181732
10,6,Ruvuma,Nyasa,0,-11.399916,35.124719
11,1,Iringa,Iringa Rural,0,-7.50503,35.127133
11,2,Iringa,Mufindi,0,-8.448084,35.539948
11,3,Iringa,Makete,0,-9.128789,34.095554
11,4,Iringa,Njombe,0,-9.33333,34.76667
11,5,Iringa,Ludewa,0,-9.980815,34.804761
11,6,Iringa,Iringa Urban,1,-7.723145,35.710512
11,7,Iringa,Kilolo,0,-7.716656,36.223656
12,1,Mbeya,Chunya,0,-7.62147,33.121366
12,2,Mbeya,Mbeya Rural,0,-9.038975,33.330904
12,3,Mbeya,Kyela,0,-9.58333,33.85
12,4,Mbeya,Rungwe,0,-9.213821,33.66574
12,5,Mbeya,Ileje,0,-9.445005,33.484176
12,6,Mbeya,Mbozi,0,-8.984303,32.943815
12,7,Mbeya,Mbarali,0,-8.272152,34.220014
12,8,Mbeya,Mbeya Urban,1,-8.885477,33.465937
12,9,Mbeya,Momba,0,-8.878707,32.356378
12,10,Mbeya,Tunduma,0,-9.3,32.76667
13,1,Singida,Iramba,0,-4.435539,34.293361
13,2,Singida,Singidia Rural,0,-5.5,34.5
13,3,Singida,Manyoni,0,-6.373718,34.529003
13,4,Singida,Singidia Urban,1,-4.816261,34.722895
14,1,Tabora,Nzega,1,-4.21667,33.18333
14,2,Tabora,Igunga,1,-4.28333,33.88333
14,3,Tabora,Uyui,1,-5.076955,33.528302
14,4,Tabora,Urambo ,1,-5.06667,32.05
14,5,Tabora,Sikonge,0,-5.63333,32.76667
14,6,Tabora,Tabora Urban,1,-5.005991,32.791916
14,7,Tabora,Kaliua,0,-4.890766,31.66363
15,1,Rukwa,Mpanda,1,-6.34379,31.06951
15,2,Rukwa,Sumbawanga,0,-7.96667,31.61667
15,3,Rukwa,Nkasi,0,-7.513591,31.013149
15,4,Rukwa,Sumbawanga Urban,1,-7.984356,31.637571
16,1,Kibondo,Kibondo,0,-3.58639,30.72028
16,2,Kibondo,Kasulu,0,-4.7333,34.733
16,3,Kibondo,Kigoma Rural,0,-4.6833,30.367
16,4,Kibondo,Kigoma Urban,1,-4.883,29.63
17,1,Shinyanga,Bariadi,0,-2.8,33.98333
17,2,Shinyanga,Maswa,0,-3.277668,33.818161
17,3,Shinyanga,Shinyanga Rural,0,-3.622351,33.103009
17,4,Shinyanga,Kahama,0,-3.83333,32.6
17,5,Shinyanga,Bukombe,0,-3.46666,31.9
17,6,Shinyanga,Meatu,0,-3.449749,34.482059
17,7,Shinyanga,Shinyanga Urban,1,-3.625822,33.44267
17,8,Shinyanga,Kishapu,0,-3.747788,33.76673
18,1,Kagera,Karagwe,0,-1.890683,31.023623
18,2,Kagera,Bukoba Rural,0,-1.414912,31.654234
18,3,Kagera,Muleba,0,-1.83972,31.65444
18,4,Kagera,Biharamulo,0,-2.63194,31.30889
18,5,Kagera,Ngara,0,-2.51222,30.65583
18,6,Kagera,Bukoba Urban,1,-1.311853,31.805488
18,7,Kagera,Chato,0,-2.63778,31.76694
18,8,Kagera,Misenye,0,-3.466,31.9
19,1,Mwanza,Ukerewe,0,-2.042089,33.004549
19,2,Mwanza,Magu,0,-2.605862,33.504505
19,3,Mwanza,Nyamagana,1,-2.588308,32.950446
19,4,Mwanza,Kwimba,0,-3.074791,33.342287
19,5,Mwanza,Sengerema,1,-2.696912,32.670761
19,6,Mwanza,Geita,0,-2.9166,32.25
19,7,Mwanza,Misungwi,1,-3.020345,32.967558
19,8,Mwanza,Ilemela,1,-2.457157,32.969135
20,1,Mara,Tarime,1,-1.35,34.36667
20,2,Mara,Sengerema,1,-2.696912,32.670761
20,3,Mara,Musoma Rural,0,-1.887373,33.61469
20,4,Mara,Bunda,0,-2.05,33.86667
20,5,Mara,Musoma Urban,1,-1.495136,33.802454
20,7,Mara,Butiama,0,-1.76667,33.96667
21,1,Manyara,Babati,0,-4.21667,35.75
21,2,Manyara,Hanang,0,-4.588583,35.347671
21,3,Manyara,Mbulu,0,-3.85,35.53333
21,4,Manyara,Simanjiro,0,-4.148138,37.090999
21,5,Manyara,Kiteto,0,-5.360294,36.693672
22,3,Njombe,Makete,0,-9.128789,34.095554
22,5,Njombe,Ludewa,0,-9.980815,34.804761
24,2,Simiyu,Itilima,0,-2.823023,34.455293
24,4,Simiyu,Maswa,0,-3.277668,33.818161
25,1,Geita,Geita,0,-2.920018,32.180788
25,2,Geita,Nyang'wale,0,-3.1159,32.62506
25,3,Geita,Mbogwe,0,-3.31101,32.1174
25,4,Geita,Bukombe,0,-3.686721,31.597869
25,5,Geita,Chato,0,-2.63778,31.76694
51,1,Kaskazini Unguja,Kaskazini A,0,-5.870817,39.314721
51,2,Kaskazini Unguja,Kaskazini B,0,-5.981523,39.239012
52,1,Kusini Unguja,Kati,1,-6.141254,39.349267
52,2,Kusini Unguja,Kusini,1,-6.337886,39.49151
53,1,Mjini/Magharibi Unguja,Magharibi,1,-6.221103,39.250568
53,2,Mjini/Magharibi Unguja,Mjini,1,-6.168021,39.209704
54,1,Kaskazini Pemba,Wete,1,-5.05589,39.72938
54,2,Kaskazini Pemba,Michweweni,1,-5.026339,39.770172
55,1,Kusini Pemba,Chakechake,1,-6.801534,39.225172
55,2,Kusini Pemba,Mkoani,1,-5.376958,39.719439
